"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":273}]","273","Instructions","FDMQ","instructions","167","84866","0.0-179.0","",""
"","502","FDMQ_01","FDMQ","survey-multi-choice-vertical","168","85371","0.0-180.0","{""Q0"":""1. Me gusta considerar todas las alternativas.""}","{""Q0"":"" A veces es verdad""}"
"","466","FDMQ_02","FDMQ","survey-multi-choice-vertical","169","85839","0.0-181.0","{""Q0"":""2. Intento encontrar las desventajas de cada alternativa.""}","{""Q0"":"" Es verdad para mi""}"
"","478","FDMQ_03","FDMQ","survey-multi-choice-vertical","170","86319","0.0-182.0","{""Q0"":""3. Tomo en consideración cuál sería la mejor manera de llevar adelante una decisión.""}","{""Q0"":"" A veces es verdad""}"
"","460","FDMQ_04","FDMQ","survey-multi-choice-vertical","171","86782","0.0-183.0","{""Q0"":""4. Cuando tomo decisiones me gusta reunir mucha información.""}","{""Q0"":"" Es verdad para mi""}"
"","447","FDMQ_05","FDMQ","survey-multi-choice-vertical","172","87231","0.0-184.0","{""Q0"":""5. Intento ser claro en mis objetivos antes de elegir.""}","{""Q0"":"" A veces es verdad""}"
"","588","FDMQ_06","FDMQ","survey-multi-choice-vertical","173","87821","0.0-185.0","{""Q0"":""6. Tomo muchas precauciones antes de elegir.""}","{""Q0"":"" No es verdad para mi""}"
"","426","FDMQ_07","FDMQ","survey-multi-choice-vertical","174","88249","0.0-186.0","{""Q0"":""7. Siempre que afronto una decisión difícil, me siento pesimista respecto a poder encontrar una buena solución.""}","{""Q0"":"" A veces es verdad""}"
"","442","FDMQ_08","FDMQ","survey-multi-choice-vertical","175","88692","0.0-187.0","{""Q0"":""8. Me siento como si estuviera bajo una tremenda presión de tiempo cuando tomo decisiones.""}","{""Q0"":"" A veces es verdad""}"
"","484","FDMQ_09","FDMQ","survey-multi-choice-vertical","176","89179","0.0-188.0","{""Q0"":""9. La posibilidad de que alguna cosa de poca importancia pudiera salir mal hace que cambie abruptamente mi preferencia.""}","{""Q0"":"" Es verdad para mi""}"
"","453","FDMQ_10","FDMQ","survey-multi-choice-vertical","177","89634","0.0-189.0","{""Q0"":""10. No puedo pensar correctamente si tengo que tomar decisiones apresuradas.""}","{""Q0"":"" Es verdad para mi""}"
"","447","FDMQ_11","FDMQ","survey-multi-choice-vertical","178","90083","0.0-190.0","{""Q0"":""11. Después de tomar una decisión, gasto cantidad de tiempo convenciéndome a mí mismo de que era correcta.""}","{""Q0"":"" Es verdad para mi""}"
"","472","FDMQ_12","FDMQ","survey-multi-choice-vertical","179","90557","0.0-191.0","{""Q0"":""12. Evito tomar decisiones.""}","{""Q0"":"" Es verdad para mi""}"
"","430","FDMQ_13","FDMQ","survey-multi-choice-vertical","180","90990","0.0-192.0","{""Q0"":""13. No tomo decisiones a menos que no tenga más remedio.""}","{""Q0"":"" A veces es verdad""}"
"","464","FDMQ_14","FDMQ","survey-multi-choice-vertical","181","91456","0.0-193.0","{""Q0"":""14. Prefiero dejarles a otros tomar las decisiones.""}","{""Q0"":"" No es verdad para mi""}"
"","456","FDMQ_15","FDMQ","survey-multi-choice-vertical","182","91915","0.0-194.0","{""Q0"":""15. No me gusta asumir la responsabilidad de tomar decisiones.""}","{""Q0"":"" Es verdad para mi""}"
"","445","FDMQ_16","FDMQ","survey-multi-choice-vertical","183","92361","0.0-195.0","{""Q0"":""16. Si una decisión puede ser tomada por otra persona o por mi, dejo que la otra persona la tome.""}","{""Q0"":"" A veces es verdad""}"
"","438","FDMQ_17","FDMQ","survey-multi-choice-vertical","184","92801","0.0-196.0","{""Q0"":""17. Prefiero que las personas que están mejor informadas decidan por mí.""}","{""Q0"":"" Es verdad para mi""}"
"","445","FDMQ_18","FDMQ","survey-multi-choice-vertical","185","93248","0.0-197.0","{""Q0"":""18. Pierdo cantidad de tiempo en cuestiones triviales de menor importancia antes de llegar a la decisión final.""}","{""Q0"":"" Es verdad para mi""}"
"","446","FDMQ_19","FDMQ","survey-multi-choice-vertical","186","93697","0.0-198.0","{""Q0"":""19. Incluso después de haber tomado una decisión, retraso ponerla en práctica.""}","{""Q0"":"" A veces es verdad""}"
"","443","FDMQ_20","FDMQ","survey-multi-choice-vertical","187","94142","0.0-199.0","{""Q0"":""20. Cuando tengo que tomar una decisión, espero mucho tiempo antes de empezar a pensar en ello.""}","{""Q0"":"" A veces es verdad""}"
"","463","FDMQ_21","FDMQ","survey-multi-choice-vertical","188","94608","0.0-200.0","{""Q0"":""21. Retraso tomar decisiones hasta que es demasiado tarde.""}","{""Q0"":"" A veces es verdad""}"
"","471","FDMQ_22","FDMQ","survey-multi-choice-vertical","189","95080","0.0-201.0","{""Q0"":""22. Aplazo tomar decisiones.""}","{""Q0"":"" Es verdad para mi""}"
