"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","1210","0.0-0.0","","","","",""
"","instructions","1","3405","0.0-1.0","[{""page_index"":0,""viewing_time"":2192}]","2194","Instructions","",""
"","survey-multi-choice-vertical","2","14111","0.0-2.0","","10696","EAR_01","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","3","17626","0.0-3.0","","3505","EAR_02","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","survey-multi-choice-vertical","4","22028","0.0-4.0","","4392","EAR_03","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","5","36322","0.0-5.0","","14288","EAR_04","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","6","40440","0.0-6.0","","4112","EAR_05","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","7","43483","0.0-7.0","","3037","EAR_06","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","8","46919","0.0-8.0","","3430","EAR_07","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","survey-multi-choice-vertical","9","52977","0.0-9.0","","6050","EAR_08","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","10","55994","0.0-10.0","","3012","EAR_09","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","11","61536","0.0-11.0","","5535","EAR_10","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy en desacuerdo""}"
