"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":411}]","412","Instructions_01","EAR","instructions","207","398313","0.0-222.0","",""
"","829","EAR_01","EAR","survey-multi-choice-vertical","208","399147","0.0-223.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" De acuerdo""}"
"","1022","EAR_02","EAR","survey-multi-choice-vertical","209","400175","0.0-224.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","805","EAR_03","EAR","survey-multi-choice-vertical","210","400982","0.0-225.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","1076","EAR_04","EAR","survey-multi-choice-vertical","211","402062","0.0-226.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" Muy en desacuerdo""}"
"","922","EAR_05","EAR","survey-multi-choice-vertical","212","402987","0.0-227.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" De acuerdo""}"
"","1239","EAR_06","EAR","survey-multi-choice-vertical","213","404230","0.0-228.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","906","EAR_07","EAR","survey-multi-choice-vertical","214","405141","0.0-229.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","1232","EAR_08","EAR","survey-multi-choice-vertical","215","406378","0.0-230.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","1029","EAR_09","EAR","survey-multi-choice-vertical","216","407411","0.0-231.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" De acuerdo""}"
"","1156","EAR_10","EAR","survey-multi-choice-vertical","217","408572","0.0-232.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" De acuerdo""}"
