"success","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","rt","response","question_order"
"true","Instructions","DEMOGR","fullscreen","113","58527","0.0-122.0","","","",""
"","DEMOGR_01","DEMOGR","survey-text","114","60938","0.0-123.0","{""Q0"":""Indica tu edad""}","2409","{""Q0"":""51""}",""
"","DEMOGR_02","DEMOGR","survey-multi-choice-vertical","115","61418","0.0-124.0","{""Q0"":""Indica tu género""}","477","{""Q0"":"" Femenino""}",""
"","DEMOGR_03","DEMOGR","survey-html-form","116","61832","0.0-125.0","{""Q0"":""Indica tu correo electrónico personal(enviaremos la giftcard a este email cuando finalices las tareas)""}","413.09499999988475","{""Q0"":""UtbiKVZD@gmail.com""}",""
"","DEMOGR_05","DEMOGR","survey-multi-choice-vertical","117","62241","0.0-126.0","{""Q0"":""¿Tienes algún tipo de daltonismo?""}","407","{""Q0"":"" No""}",""
"","DEMOGR_06","DEMOGR","survey-html-form","118","62628","0.0-127.0","{""Q0"":""Elige del desplegable tu comuna de residencia.""}","385.2450000003955","{""Q0"":""FnwMukai8oNQj36jD8EtylYjjiFAnlKbKqqg8FDxP0dZwaEfxwuq0WUcHW3kFof0lrWC5FtdxA""}",""
"","DEMOGR_07","DEMOGR","survey-multi-choice-vertical","119","63869","0.0-128.0","{""Q0"":""Indica tú nivel de estudios""}","1236","{""Q0"":"" Universidad incompleta""}",""
"","DEMOGR_08","DEMOGR","survey-multi-choice-vertical","120","64539","0.0-129.0","{""Q0"":""¿Qué estas estudiando?""}","667","{""Q0"":"" Ciencias de la salud""}",""
"","DEMOGR_10","DEMOGR","survey-multi-choice-vertical","121","65143","0.0-131.0","{""Q0"":""Año completado de tus estudios""}","601","{""Q0"":"" Primero""}",""
"","DEMOGR_11","DEMOGR","survey-html-form","122","65524","0.0-132.0","{""Q0"":""Elige del desplegable la institución educativa a la que asistes. En caso de que no aparezca, introduce el nombre.""}","380.04000000000815","{""Q0"":""Rz3R3tAS30BlIfrhTm5nNEO24FyteZsMaxvjk1Cwurgmn5EaHkDo3gFAp1AehKIpJnkLTHOzCfZ""}",""
"","DEMOGR_12","DEMOGR","survey-multi-choice-vertical","123","66574","0.0-133.0","{""Q0"":""Indica el nivel de estudios de tu madre""}","1044","{""Q0"":"" Media completa""}",""
"","DEMOGR_13","DEMOGR","survey-multi-choice-vertical","124","67633","0.0-134.0","{""Q0"":""Indica el nivel de estudios de tu padre""}","1052","{""Q0"":"" Básica completa""}",""
"","DEMOGR_14","DEMOGR","survey-multi-choice-vertical","125","68285","0.0-135.0","{""Q0"":""¿Qué tipo de seguro de salud tienes?""}","649","{""Q0"":"" Isapre""}",""
"","DEMOGR_15","DEMOGR","survey-multi-choice-horizontal","126","68773","0.0-136.0","{""Q0"":""¿Alguna vez has estado embarazada?""}","486","{""Q0"":"" Si""}",""
"","DEMOGR_16","DEMOGR","survey-multi-choice-horizontal","127","69183","0.0-137.0","{""Q0"":""¿Alguna vez has tenido un parto vaginal o cesarea?""}","408","{""Q0"":"" No""}",""
"","DEMOGR_17","DEMOGR","survey-multi-choice-horizontal","128","69633","0.0-138.0","{""Q0"":""¿Quieres tener hijos en el futuro?""}","449","{""Q0"":"" Si""}",""
"","DEMOGR_18","DEMOGR","survey-text","129","70054","0.0-139.0","{""Q0"":""¿Cuántos hijos(as) te gustaría tener? (0, 1, 2, 3...)""}","418","{""Q0"":""3""}",""
"","DEMOGR_19","DEMOGR","survey-multi-select","130","70537","0.0-140.0","{""Q0"":""Indica si alguna de las siguientes personas o grupos ha tenido una cesarea (puedes marcar más de una opción):""}","480.5149999992864","{""Q0"":[""&nbsp;Madre""]}","[0]"
