"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":284}]","285","Instructions","CRTv","instructions","106","61981","0.0-116.0","",""
"","469","CRTv_01","CRTv","survey-text","107","62453","0.0-117.0","{""Q0"":""1. El papá de María tiene 5 hijas y ningún hijo: Nana, Nene, Nini, Nono ¿Cuál es probablemente el nombre de la quinta hija?""}","{""Q0"":""rASQEVAXyvbUBUc8""}"
"","483","CRTv_02","CRTv","survey-text","108","62938","0.0-118.0","{""Q0"":""2. Si estuvieras corriendo una carrera y pasaras a la persona en segundo lugar ¿En qué lugar quedarías?""}","{""Q0"":""QI5uE5hsYw048O8JuylFoWbmRn897qefHf5Aj4NHqnoU1UC3Ua""}"
"","419","CRTv_03","CRTv","survey-text","109","63358","0.0-119.0","{""Q0"":""3. En una noche de tormenta un avión despega desde Nueva York. La tormenta empeora y el avión se estrella. La mitad cae en los Estados Unidos y la otra mitad en Canadá ¿En qué país enterrarías a los sobrevivientes?""}","{""Q0"":""ij""}"
"","456","CRTv_04","CRTv","survey-text","110","63816","0.0-120.0","{""Q0"":""4. Un mono, una ardilla, y un pájaro están haciendo una carrera hacia la punta de un manzano ¿Quién obtendrá el plátano primero? ¿El mono, la ardilla o el pájaro?""}","{""Q0"":""AKgW5Xoa3nyPX0dVQxg5H9nBYGOPS0j0zM74MeF6ZfloCaPwJBVIsFtYwoljfiymIRAUYOkJX""}"
"","570","CRTv_05","CRTv","survey-text","111","64389","0.0-121.0","{""Q0"":""5. En una casa de un piso color rojo, había una persona roja, un gato rojo, un pez rojo, un computador rojo, una silla roja, una tabla roja, un teléfono rojo, una ducha roja ¡Todo era de color rojo! ¿De qué color son probablemente las escaleras?""}","{""Q0"":""E5dy5mjPwmX3YdQtVLs6ggqt4FZmCaD0Gh1Z1kDLhGJwtg4ZlXtVsClIvTvxEAyNG19TsinEwU9yq6Cbv63G0Pcx""}"
"","396","CRTv_06","CRTv","survey-text","112","64787","0.0-122.0","{""Q0"":""6. ¿Qué número de cada animal puso Moisés en el arca?""}","{""Q0"":""gIfelhKog03sr""}"
"","420","CRTv_07","CRTv","survey-text","113","65209","0.0-123.0","{""Q0"":""7. El viento fluye en dirección oeste. Un tren eléctrico viaja hacia el este ¿En qué dirección cardinal viaja el humo de la locomotora?""}","{""Q0"":""tSGbrVC9qdl""}"
"","430","CRTv_08","CRTv","survey-text","114","65641","0.0-124.0","{""Q0"":""8. Si tienes solo un fósforo y caminas a una habitación oscura donde hay aceite de lámpara, un periódico y madera ¿Qué cosa prenderías primero?""}","{""Q0"":""55DcdkjGnz57pVsS4kTH6j3qd7uUzkk0WP5TNjv6W14nuT8FjCZc01NoEH1xH""}"
"","436","CRTv_09","CRTv","survey-text","115","66080","0.0-125.0","{""Q0"":""9. ¿Sería ético que un hombre se casara con la hermana de su viuda?""}","{""Q0"":""AOm0Z1zA2axmlvLpYjVfpzcHfrlGtGxmMGi8lk""}"
"","424","CRTv_10","CRTv","survey-text","116","66506","0.0-126.0","{""Q0"":""10. ¿Cuál de las oraciones es correcta? a) ‘La yema del huevo son blancas’ o b) ‘La yema del huevo es blanca’""}","{""Q0"":""u4bvuFNOnLzsBk7wj""}"
