"success","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","rt","response","question_order"
"true","Instructions","DEMOGR","fullscreen","113","57041","0.0-122.0","","","",""
"","DEMOGR_01","DEMOGR","survey-text","114","59460","0.0-123.0","{""Q0"":""Indica tu edad""}","2417","{""Q0"":""53""}",""
"","DEMOGR_02","DEMOGR","survey-multi-choice-vertical","115","59930","0.0-124.0","{""Q0"":""Indica tu género""}","468","{""Q0"":"" Masculino""}",""
"","DEMOGR_03","DEMOGR","survey-html-form","116","60314","0.0-125.0","{""Q0"":""Indica tu correo electrónico personal(enviaremos la giftcard a este email cuando finalices las tareas)""}","383.03499999892665","{""Q0"":""rdn0t5E5g@gmail.com""}",""
"","DEMOGR_05","DEMOGR","survey-multi-choice-vertical","117","60723","0.0-126.0","{""Q0"":""¿Tienes algún tipo de daltonismo?""}","407","{""Q0"":"" Si""}",""
"","DEMOGR_06","DEMOGR","survey-html-form","118","61110","0.0-127.0","{""Q0"":""Elige del desplegable tu comuna de residencia.""}","384.00499999988824","{""Q0"":""NFviu6TMUrwZMZB3Tc8cV6T""}",""
"","DEMOGR_07","DEMOGR","survey-multi-choice-vertical","119","62339","0.0-128.0","{""Q0"":""Indica tú nivel de estudios""}","1223","{""Q0"":"" Sin educación formal""}",""
"","DEMOGR_08","DEMOGR","survey-multi-choice-vertical","120","62980","0.0-129.0","{""Q0"":""¿Qué estas estudiando?""}","639","{""Q0"":"" Ciencias / Ingeniería""}",""
"","DEMOGR_10","DEMOGR","survey-multi-choice-vertical","121","63671","0.0-131.0","{""Q0"":""Año completado de tus estudios""}","688","{""Q0"":"" Primero""}",""
"","DEMOGR_11","DEMOGR","survey-html-form","122","64039","0.0-132.0","{""Q0"":""Elige del desplegable la institución educativa a la que asistes. En caso de que no aparezca, introduce el nombre.""}","366.7349999996077","{""Q0"":""P5zU2tb6IRuYUj3Fw8y5l32BufrSZOmxB""}",""
"","DEMOGR_12","DEMOGR","survey-multi-choice-vertical","123","65065","0.0-133.0","{""Q0"":""Indica el nivel de estudios de tu madre""}","1020","{""Q0"":"" Básica completa""}",""
"","DEMOGR_13","DEMOGR","survey-multi-choice-vertical","124","66217","0.0-134.0","{""Q0"":""Indica el nivel de estudios de tu padre""}","1147","{""Q0"":"" Universidad completa""}",""
"","DEMOGR_14","DEMOGR","survey-multi-choice-vertical","125","66884","0.0-135.0","{""Q0"":""¿Qué tipo de seguro de salud tienes?""}","665","{""Q0"":"" FONASA C""}",""
"","DEMOGR_15","DEMOGR","survey-multi-choice-horizontal","126","67341","0.0-136.0","{""Q0"":""¿Alguna vez has estado embarazada?""}","455","{""Q0"":"" No""}",""
"","DEMOGR_16","DEMOGR","survey-multi-choice-horizontal","127","67729","0.0-137.0","{""Q0"":""¿Alguna vez has tenido un parto vaginal o cesarea?""}","386","{""Q0"":"" No""}",""
"","DEMOGR_17","DEMOGR","survey-multi-choice-horizontal","128","68213","0.0-138.0","{""Q0"":""¿Quieres tener hijos en el futuro?""}","483","{""Q0"":"" No se""}",""
"","DEMOGR_18","DEMOGR","survey-text","129","68629","0.0-139.0","{""Q0"":""¿Cuántos hijos(as) te gustaría tener? (0, 1, 2, 3...)""}","415","{""Q0"":""95""}",""
"","DEMOGR_19","DEMOGR","survey-multi-select","130","69148","0.0-140.0","{""Q0"":""Indica si alguna de las siguientes personas o grupos ha tenido una cesarea (puedes marcar más de una opción):""}","517.0300000008865","{""Q0"":[""&nbsp;Madre""]}","[0]"
