"success","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","rt","response","question_order"
"true","Instructions","DEMOGR","fullscreen","146","83362","0.0-157.0","","","",""
"","DEMOGR_01","DEMOGR","survey-text","147","85811","0.0-158.0","{""Q0"":""Indica tu edad""}","2445","{""Q0"":""79""}",""
"","DEMOGR_02","DEMOGR","survey-multi-choice-vertical","148","86360","0.0-159.0","{""Q0"":""Indica tu género""}","546","{""Q0"":"" No binario""}",""
"","DEMOGR_03","DEMOGR","survey-html-form","149","86813","0.0-160.0","{""Q0"":""Indica tu correo electrónico personal(enviaremos la giftcard a este email cuando finalices las tareas)""}","451.12999999991735","{""Q0"":""kLTHOzCfZo@gmail.com""}",""
"","DEMOGR_05","DEMOGR","survey-multi-choice-vertical","150","87320","0.0-161.0","{""Q0"":""¿Tienes algún tipo de daltonismo?""}","506","{""Q0"":"" No""}",""
"","DEMOGR_06","DEMOGR","survey-html-form","151","87798","0.0-162.0","{""Q0"":""Elige del desplegable tu comuna de residencia.""}","475.6649999999354","{""Q0"":""KvnhlBf3qeV4ktUaqJVYcAHj0eJ8Hf8Rbkhh3FWXnehez8mkNjxvDr0AATJVLWCFOeMlEo4PpRYuZFTC""}",""
"","DEMOGR_07","DEMOGR","survey-multi-choice-vertical","152","89221","0.0-163.0","{""Q0"":""Indica tú nivel de estudios""}","1418","{""Q0"":"" Postgrado completa""}",""
"","DEMOGR_08","DEMOGR","survey-multi-choice-vertical","153","89972","0.0-164.0","{""Q0"":""¿Qué estas estudiando?""}","748","{""Q0"":"" Otro""}",""
"","DEMOGR_10","DEMOGR","survey-multi-choice-vertical","154","90715","0.0-166.0","{""Q0"":""Año completado de tus estudios""}","740","{""Q0"":"" Iniciada""}",""
"","DEMOGR_11","DEMOGR","survey-html-form","155","91170","0.0-167.0","{""Q0"":""Elige del desplegable la institución educativa a la que asistes. En caso de que no aparezca, introduce el nombre.""}","453.0400000003283","{""Q0"":""8HhgkjoB1xcNXEe6jh2UO1xXz6xElqh3XHEfma8nXoSjCthsd8iTFI7aIj74qUKQz2XSUfdHMHJAM79""}",""
"","DEMOGR_12","DEMOGR","survey-multi-choice-vertical","156","92340","0.0-168.0","{""Q0"":""Indica el nivel de estudios de tu madre""}","1164","{""Q0"":"" Media incompleta""}",""
"","DEMOGR_13","DEMOGR","survey-multi-choice-vertical","157","93498","0.0-169.0","{""Q0"":""Indica el nivel de estudios de tu padre""}","1154","{""Q0"":"" Básica completa""}",""
"","DEMOGR_14","DEMOGR","survey-multi-choice-vertical","158","94244","0.0-170.0","{""Q0"":""¿Qué tipo de seguro de salud tienes?""}","744","{""Q0"":"" FONASA D""}",""
"","DEMOGR_15","DEMOGR","survey-multi-choice-horizontal","159","94744","0.0-171.0","{""Q0"":""¿Alguna vez has estado embarazada?""}","498","{""Q0"":"" Si""}",""
"","DEMOGR_16","DEMOGR","survey-multi-choice-horizontal","160","95227","0.0-172.0","{""Q0"":""¿Alguna vez has tenido un parto vaginal o cesarea?""}","481","{""Q0"":"" No""}",""
"","DEMOGR_17","DEMOGR","survey-multi-choice-horizontal","161","95767","0.0-173.0","{""Q0"":""¿Quieres tener hijos en el futuro?""}","538","{""Q0"":"" No se""}",""
"","DEMOGR_18","DEMOGR","survey-text","162","96272","0.0-174.0","{""Q0"":""¿Cuántos hijos(as) te gustaría tener? (0, 1, 2, 3...)""}","502","{""Q0"":""32""}",""
"","DEMOGR_19","DEMOGR","survey-multi-select","163","96903","0.0-175.0","{""Q0"":""Indica si alguna de las siguientes personas o grupos ha tenido una cesarea (puedes marcar más de una opción):""}","627.2699999999604","{""Q0"":[""&nbsp;Hermanas""]}","[0]"
