"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":285}]","285","Instructions","CRS","instructions","66","39555","0.0-76.0","",""
"","756","CRS_01","CRS","survey-multi-choice-vertical","67","40314","0.0-77.0","{""Q0"":""1. ¿Con qué frecuencia piensas en temas religiosos?""}","{""Q0"":"" Ocasionalmente""}"
"","817","CRS_02","CRS","survey-multi-choice-vertical","68","41134","0.0-78.0","{""Q0"":""2. ¿Hasta qué punto crees que Dios o algo divino existe?""}","{""Q0"":"" Algo""}"
"","714","CRS_03","CRS","survey-multi-choice-vertical","69","41851","0.0-79.0","{""Q0"":""3. ¿Con qué frecuencia participas en servicios religiosos?""}","{""Q0"":"" Muy a menudo""}"
"","668","CRS_04","CRS","survey-multi-choice-vertical","70","42522","0.0-80.0","{""Q0"":""4. ¿Con qué frecuencia rezas?""}","{""Q0"":"" Nunca""}"
"","665","CRS_05","CRS","survey-multi-choice-vertical","71","43189","0.0-81.0","{""Q0"":""5. ¿Con qué frecuencia meditas?""}","{""Q0"":"" Nunca""}"
"","640","CRS_06","CRS","survey-multi-choice-vertical","72","43831","0.0-82.0","{""Q0"":""6. ¿Con qué frecuencia experimenta situaciones en las que tiene la sensación de que Dios o algo divino interviene en su vida?""}","{""Q0"":"" Muy a menudo""}"
"","632","CRS_07","CRS","survey-multi-choice-vertical","73","44466","0.0-83.0","{""Q0"":""7. ¿Con qué frecuencia experimenta situaciones en las que tiene la sensación de ser uno con todos?""}","{""Q0"":"" Nunca""}"
"","680","CRS_08","CRS","survey-multi-choice-vertical","74","45149","0.0-84.0","{""Q0"":""8. ¿Qué tan interesado está en aprender más sobre temas religiosos?""}","{""Q0"":"" Demasiado""}"
"","662","CRS_09","CRS","survey-multi-choice-vertical","75","45813","0.0-85.0","{""Q0"":""9. ¿Hasta qué punto crees en una vida futura? inmortalidad del alma, resurrección de los muertos o reencarnación?""}","{""Q0"":"" Algo""}"
"","640","CRS_10","CRS","survey-multi-choice-vertical","76","46455","0.0-86.0","{""Q0"":""10. ¿Qué tan importante es participar en los servicios religiosos?""}","{""Q0"":"" Mucho""}"
"","672","CRS_11","CRS","survey-multi-choice-vertical","77","47130","0.0-87.0","{""Q0"":""11. ¿Qué tan importante es la oración personal para ti?""}","{""Q0"":"" Nada""}"
"","662","CRS_12","CRS","survey-multi-choice-vertical","78","47794","0.0-88.0","{""Q0"":""12. ¿Qué tan importante es la meditación para ti?""}","{""Q0"":"" Nada""}"
"","704","CRS_13","CRS","survey-multi-choice-vertical","79","48500","0.0-89.0","{""Q0"":""13. ¿Con qué frecuencia experimentas situaciones en las que tienes la sensación de que Dios o algo divino quiere comunicarte o revelarte algo?""}","{""Q0"":"" Rara vez""}"
"","631","CRS_14","CRS","survey-multi-choice-vertical","80","49134","0.0-90.0","{""Q0"":""14. ¿Con qué frecuencia experimenta situaciones en las que tiene la sensación de ser tocado por un poder divino?""}","{""Q0"":"" Ocasionalmente""}"
"","677","CRS_15","CRS","survey-multi-choice-vertical","81","49817","0.0-91.0","{""Q0"":""15. ¿Con qué frecuencia se mantiene informado sobre cuestiones religiosas a través de la radio, la televisión, internet, periódicos o libros?""}","{""Q0"":"" Rara vez""}"
"","768","CRS_16","CRS","survey-multi-choice-vertical","82","50587","0.0-92.0","{""Q0"":""16. En tu opinión, ¿qué tan probable es que realmente exista un poder superior?""}","{""Q0"":"" Mucho""}"
"","712","CRS_17","CRS","survey-multi-choice-vertical","83","51301","0.0-93.0","{""Q0"":""17. ¿Qué tan importante es para usted estar conectado a una comunidad religiosa?""}","{""Q0"":"" Mucho""}"
"","623","CRS_18","CRS","survey-multi-choice-vertical","84","51926","0.0-94.0","{""Q0"":""18. ¿Con qué frecuencia rezas espontáneamente cuando te inspiras en situaciones cotidianas?""}","{""Q0"":"" Rara vez""}"
"","703","CRS_19","CRS","survey-multi-choice-vertical","85","52632","0.0-95.0","{""Q0"":""19. ¿Con qué frecuencia intentas conectarte a lo divino espontáneamente cuando te inspiras en situaciones cotidianas?""}","{""Q0"":"" A menudo""}"
"","695","CRS_20","CRS","survey-multi-choice-vertical","86","53330","0.0-96.0","{""Q0"":""20. ¿Con qué frecuencia experimenta situaciones en las que tiene la sensación de que Dios o algo divino está presente?""}","{""Q0"":"" Muy a menudo""}"
