"success","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","rt","response","question_order"
"true","Instructions","DEMOGR","fullscreen","146","82222","0.0-157.0","","","",""
"","DEMOGR_01","DEMOGR","survey-text","147","85379","0.0-158.0","{""Q0"":""Indica tu edad""}","3154","{""Q0"":""69""}",""
"","DEMOGR_02","DEMOGR","survey-multi-choice-vertical","148","85871","0.0-159.0","{""Q0"":""Indica tu género""}","491","{""Q0"":"" No binario""}",""
"","DEMOGR_03","DEMOGR","survey-html-form","149","86323","0.0-160.0","{""Q0"":""Indica tu correo electrónico personal(enviaremos la giftcard a este email cuando finalices las tareas)""}","450.32499999979336","{""Q0"":""OpdNwBPs@gmail.com""}",""
"","DEMOGR_05","DEMOGR","survey-multi-choice-vertical","150","86788","0.0-161.0","{""Q0"":""¿Tienes algún tipo de daltonismo?""}","462","{""Q0"":"" No""}",""
"","DEMOGR_06","DEMOGR","survey-html-form","151","87247","0.0-162.0","{""Q0"":""Elige del desplegable tu comuna de residencia.""}","457.02500000015425","{""Q0"":""ZQFbgkcNXZbC0dEkII2xRZMalvYaUqXbhsJlfEWRJhYH2xCfS6Krdn0t5E5gEs2NFvi""}",""
"","DEMOGR_07","DEMOGR","survey-multi-choice-vertical","152","88604","0.0-163.0","{""Q0"":""Indica tú nivel de estudios""}","1351","{""Q0"":"" Media incompleta""}",""
"","DEMOGR_08","DEMOGR","survey-multi-choice-vertical","153","89287","0.0-164.0","{""Q0"":""¿Qué estas estudiando?""}","680","{""Q0"":"" Ciencias / Ingeniería""}",""
"","DEMOGR_10","DEMOGR","survey-multi-choice-vertical","154","89960","0.0-166.0","{""Q0"":""Año completado de tus estudios""}","670","{""Q0"":"" Iniciada""}",""
"","DEMOGR_11","DEMOGR","survey-html-form","155","90380","0.0-167.0","{""Q0"":""Elige del desplegable la institución educativa a la que asistes. En caso de que no aparezca, introduce el nombre.""}","418.11999999980617","{""Q0"":""MZB3Tc8cV6TUdjNA8P5z""}",""
"","DEMOGR_12","DEMOGR","survey-multi-choice-vertical","156","91543","0.0-168.0","{""Q0"":""Indica el nivel de estudios de tu madre""}","1158","{""Q0"":"" Básica completa""}",""
"","DEMOGR_13","DEMOGR","survey-multi-choice-vertical","157","92724","0.0-169.0","{""Q0"":""Indica el nivel de estudios de tu padre""}","1174","{""Q0"":"" Universidad incompleta""}",""
"","DEMOGR_14","DEMOGR","survey-multi-choice-vertical","158","93456","0.0-170.0","{""Q0"":""¿Qué tipo de seguro de salud tienes?""}","730","{""Q0"":"" FONASA B""}",""
"","DEMOGR_15","DEMOGR","survey-multi-choice-horizontal","159","93956","0.0-171.0","{""Q0"":""¿Alguna vez has estado embarazada?""}","496","{""Q0"":"" No""}",""
"","DEMOGR_16","DEMOGR","survey-multi-choice-horizontal","160","94418","0.0-172.0","{""Q0"":""¿Alguna vez has tenido un parto vaginal o cesarea?""}","460","{""Q0"":"" No""}",""
"","DEMOGR_17","DEMOGR","survey-multi-choice-horizontal","161","94969","0.0-173.0","{""Q0"":""¿Quieres tener hijos en el futuro?""}","550","{""Q0"":"" No se""}",""
"","DEMOGR_18","DEMOGR","survey-text","162","95393","0.0-174.0","{""Q0"":""¿Cuántos hijos(as) te gustaría tener? (0, 1, 2, 3...)""}","421","{""Q0"":""23""}",""
"","DEMOGR_19","DEMOGR","survey-multi-select","163","96018","0.0-175.0","{""Q0"":""Indica si alguna de las siguientes personas o grupos ha tenido una cesarea (puedes marcar más de una opción):""}","622.3799999997864","{""Q0"":[""&nbsp;Hermanas""]}","[0]"
