"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":250}]","250","Instructions","IEC","instructions","315","149081","0.0-267.0","",""
"","716","IEC_01","IEC","survey-multi-choice-vertical","316","149801","0.0-268.0","{""Q0"":""1. El que yo llegue a ser un líder depende principalmente de mis habilidades.""}","{""Q0"":"" Moderadamente de acuerdo.""}"
"","648","IEC_02","IEC","survey-multi-choice-vertical","317","150454","0.0-269.0","{""Q0"":""2. Mi vida ha sido influenciada en gran medida por eventos inesperados.""}","{""Q0"":"" Ligeramente de acuerdo.""}"
"","640","IEC_03","IEC","survey-multi-choice-vertical","318","151098","0.0-270.0","{""Q0"":""3. Yo siento que lo que pasa en mi vida está muy determinado por la gente que tiene poder (padres, jefes, políticos)""}","{""Q0"":"" Ligeramente de acuerdo.""}"
"","670","IEC_04","IEC","survey-multi-choice-vertical","319","151772","0.0-271.0","{""Q0"":""4. El hecho de tener un accidente cuando voy manejando, depende principalmente de mi mismo.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","625","IEC_05","IEC","survey-multi-choice-vertical","320","152401","0.0-272.0","{""Q0"":""5. Cuando hago planes, estoy casi seguro de que lo llevaré a cabo.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","643","IEC_06","IEC","survey-multi-choice-vertical","321","153048","0.0-273.0","{""Q0"":""6. Ciertamente, a veces no puedo evitar tener mala suerte con mis asuntos personales.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","631","IEC_07","IEC","survey-multi-choice-vertical","322","153682","0.0-274.0","{""Q0"":""7. Como yo tengo buena suerte, siempre las cosas me salen bien.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","643","IEC_08","IEC","survey-multi-choice-vertical","323","154328","0.0-275.0","{""Q0"":""8. A pesar de estar bien capacitado, no conseguiré un buen empleo a menos que alguien influyente me ayude.""}","{""Q0"":"" Ligeramente de acuerdo.""}"
"","641","IEC_09","IEC","survey-multi-choice-vertical","324","154973","0.0-276.0","{""Q0"":""9. La cantidad de amigos que tengo está determinada por mi propia simpatía.""}","{""Q0"":"" Ligeramente en desacuerdo.""}"
