"success","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","rt","response","question_order"
"true","Instructions_01","DEMOGR","fullscreen","177","367366","0.0-189.0","","","",""
"","DEMOGR_01","DEMOGR","survey-text","178","370032","0.0-190.0","{""Q0"":""Indica tu edad""}","2662","{""Q0"":""64""}",""
"","DEMOGR_02","DEMOGR","survey-multi-choice-vertical","179","370782","0.0-191.0","{""Q0"":""Indica tu género""}","747","{""Q0"":"" Masculino""}",""
"","DEMOGR_03","DEMOGR","survey-html-form","180","371470","0.0-192.0","{""Q0"":""Indica tu correo electrónico personal(enviaremos la giftcard a este email cuando finalices las tareas)""}","685","{""Q0"":""u47kbC37Cw@gmail.com""}",""
"","DEMOGR_05","DEMOGR","survey-multi-choice-vertical","181","372172","0.0-193.0","{""Q0"":""¿Tienes algún tipo de daltonismo?""}","699","{""Q0"":"" Si""}",""
"","DEMOGR_06","DEMOGR","survey-html-form","182","372690","0.0-194.0","{""Q0"":""Elige del desplegable tu comuna de residencia.""}","513.3999999985099","{""Q0"":""4287MEoIN3Z29zasCwgh8IWk9yesXQmvWgpF""}",""
"","DEMOGR_07","DEMOGR","survey-multi-choice-vertical","183","374538","0.0-195.0","{""Q0"":""Indica tú nivel de estudios""}","1839","{""Q0"":"" Postgrado completa""}",""
"","DEMOGR_08","DEMOGR","survey-multi-choice-vertical","184","375639","0.0-196.0","{""Q0"":""¿Qué estas estudiando?""}","1098","{""Q0"":"" Negocios / Comercio""}",""
"","DEMOGR_10","DEMOGR","survey-multi-choice-vertical","185","376555","0.0-198.0","{""Q0"":""Año completado de tus estudios""}","913","{""Q0"":"" Primero""}",""
"","DEMOGR_11","DEMOGR","survey-html-form","186","377207","0.0-199.0","{""Q0"":""Elige del desplegable la institución educativa a la que asistes. En caso de que no aparezca, introduce el nombre.""}","649.3000000007451","{""Q0"":""ScWNNG74KOkO0Wwozn6UswRB6SZBeJIHQPWfSNxZY""}",""
"","DEMOGR_12","DEMOGR","survey-multi-choice-vertical","187","378719","0.0-200.0","{""Q0"":""Indica el nivel de estudios de tu madre""}","1497","{""Q0"":"" Media incompleta""}",""
"","DEMOGR_13","DEMOGR","survey-multi-choice-vertical","188","380422","0.0-201.0","{""Q0"":""Indica el nivel de estudios de tu padre""}","1690","{""Q0"":"" Centro de Formación Técnica o en Instituto Profesional completa""}",""
"","DEMOGR_14","DEMOGR","survey-multi-choice-vertical","189","381637","0.0-202.0","{""Q0"":""¿Qué tipo de seguro de salud tienes?""}","1210","{""Q0"":"" FONASA B""}",""
"","DEMOGR_15","DEMOGR","survey-multi-choice-horizontal","190","382360","0.0-203.0","{""Q0"":""¿Alguna vez has estado embarazada?""}","720","{""Q0"":"" No""}",""
"","DEMOGR_16","DEMOGR","survey-multi-choice-horizontal","191","383291","0.0-204.0","{""Q0"":""¿Alguna vez has tenido un parto vaginal o cesarea?""}","927","{""Q0"":"" No""}",""
"","DEMOGR_17","DEMOGR","survey-multi-choice-horizontal","192","384043","0.0-205.0","{""Q0"":""¿Quieres tener hijos en el futuro?""}","748","{""Q0"":"" Si""}",""
"","DEMOGR_18","DEMOGR","survey-text","193","384748","0.0-206.0","{""Q0"":""¿Cuántos hijos(as) te gustaría tener? (0, 1, 2, 3...)""}","701","{""Q0"":""81""}",""
"","DEMOGR_19","DEMOGR","survey-multi-select","194","385544","0.0-207.0","{""Q0"":""Indica si alguna de las siguientes personas o grupos ha tenido una cesarea (puedes marcar más de una opción):""}","790.6999999992549","{""Q0"":[""&nbsp;Amigas cercanas""]}","[0]"
