"success","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","rt","response","question_order"
"true","Instructions_01","DEMOGR","fullscreen","146","137854","0.0-167.0","","","",""
"","DEMOGR_01","DEMOGR","survey-text","147","140347","0.0-168.0","{""Q0"":""Indica tu edad""}","2491","{""Q0"":""62""}",""
"","DEMOGR_02","DEMOGR","survey-multi-choice-vertical","148","141081","0.0-169.0","{""Q0"":""Indica tu género""}","730","{""Q0"":"" No binario""}",""
"","DEMOGR_03","DEMOGR","survey-html-form","149","141619","0.0-170.0","{""Q0"":""Indica tu correo electrónico personal(enviaremos la giftcard a este email cuando finalices las tareas)""}","536.5","{""Q0"":""zWqic@gmail.com""}",""
"","DEMOGR_05","DEMOGR","survey-multi-choice-vertical","150","142192","0.0-171.0","{""Q0"":""¿Tienes algún tipo de daltonismo?""}","571","{""Q0"":"" Si""}",""
"","DEMOGR_06","DEMOGR","survey-html-form","151","142931","0.0-172.0","{""Q0"":""Elige del desplegable tu comuna de residencia.""}","735.1999999992549","{""Q0"":""hWfvHlnFbMffJuC2V8""}",""
"","DEMOGR_07","DEMOGR","survey-multi-choice-vertical","152","144676","0.0-173.0","{""Q0"":""Indica tú nivel de estudios""}","1735","{""Q0"":"" Centro de Formación Técnica o en Instituto Profesional completa""}",""
"","DEMOGR_08","DEMOGR","survey-multi-choice-vertical","153","145696","0.0-174.0","{""Q0"":""¿Qué estas estudiando?""}","1016","{""Q0"":"" Ciencias de la salud""}",""
"","DEMOGR_10","DEMOGR","survey-multi-choice-vertical","154","146816","0.0-176.0","{""Q0"":""Año completado de tus estudios""}","1116","{""Q0"":"" Cuarto""}",""
"","DEMOGR_11","DEMOGR","survey-html-form","155","147285","0.0-177.0","{""Q0"":""Elige del desplegable la institución educativa a la que asistes. En caso de que no aparezca, introduce el nombre.""}","466.3999999985099","{""Q0"":""Ts5k2rZwhecoVKNfxSFEwCWSDF13rRu""}",""
"","DEMOGR_12","DEMOGR","survey-multi-choice-vertical","156","148961","0.0-178.0","{""Q0"":""Indica el nivel de estudios de tu madre""}","1668","{""Q0"":"" Media completa""}",""
"","DEMOGR_13","DEMOGR","survey-multi-choice-vertical","157","150759","0.0-179.0","{""Q0"":""Indica el nivel de estudios de tu padre""}","1789","{""Q0"":"" Postgrado incompleta""}",""
"","DEMOGR_14","DEMOGR","survey-multi-choice-vertical","158","151867","0.0-180.0","{""Q0"":""¿Qué tipo de seguro de salud tienes?""}","1105","{""Q0"":"" FONASA D""}",""
"","DEMOGR_15","DEMOGR","survey-multi-choice-horizontal","159","152561","0.0-181.0","{""Q0"":""¿Alguna vez has estado embarazada?""}","691","{""Q0"":"" Si""}",""
"","DEMOGR_16","DEMOGR","survey-multi-choice-horizontal","160","153368","0.0-182.0","{""Q0"":""¿Alguna vez has tenido un parto vaginal o cesarea?""}","802","{""Q0"":"" No""}",""
"","DEMOGR_17","DEMOGR","survey-multi-choice-horizontal","161","154062","0.0-183.0","{""Q0"":""¿Quieres tener hijos en el futuro?""}","688","{""Q0"":"" Si""}",""
"","DEMOGR_18","DEMOGR","survey-text","162","154784","0.0-184.0","{""Q0"":""¿Cuántos hijos(as) te gustaría tener? (0, 1, 2, 3...)""}","718","{""Q0"":""69""}",""
"","DEMOGR_19","DEMOGR","survey-multi-select","163","155498","0.0-185.0","{""Q0"":""Indica si alguna de las siguientes personas o grupos ha tenido una cesarea (puedes marcar más de una opción):""}","709.3999999985099","{""Q0"":[""&nbsp;Madre""]}","[0]"
